experiment_id,sample_id,model_id,method,feature_index,feature_name,contribution,rank
EXP-XAI-0001,B2:0,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,1,S1:dR,-0.00025066652570804315,125
EXP-XAI-0001,B2:0,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,2,S1:dR_norm,0.005582392920070123,92
EXP-XAI-0001,B2:0,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,3,S1:EMAi_0.001,0.008276244964264934,79
EXP-XAI-0001,B2:0,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,4,S1:EMAi_0.01,0.010061099931025552,68
EXP-XAI-0001,B2:0,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,5,S1:EMAi_0.1,0.007307304405740456,85
EXP-XAI-0001,B2:0,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,6,S1:EMAd_0.001,-0.00021891606319057733,126
EXP-XAI-0001,B2:0,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,7,S1:EMAd_0.01,0.0010931868386251375,118
EXP-XAI-0001,B2:0,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,8,S1:EMAd_0.1,0.007254876800184218,86
EXP-XAI-0001,B2:0,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,9,S2:dR,0.0036921254224115962,99
EXP-XAI-0001,B2:0,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,10,S2:dR_norm,0.00869163755124236,73
EXP-XAI-0001,B2:0,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,11,S2:EMAi_0.001,0.018353213157775605,35
EXP-XAI-0001,B2:0,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,12,S2:EMAi_0.01,0.02464644593674492,19
EXP-XAI-0001,B2:0,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,13,S2:EMAi_0.1,0.016123043582488394,44
EXP-XAI-0001,B2:0,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,14,S2:EMAd_0.001,0.005474074884238012,94
EXP-XAI-0001,B2:0,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,15,S2:EMAd_0.01,0.007729023140591762,82
EXP-XAI-0001,B2:0,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,16,S2:EMAd_0.1,0.01040216400663263,66
EXP-XAI-0001,B2:0,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,17,S3:dR,0.041653539192433975,6
EXP-XAI-0001,B2:0,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,18,S3:dR_norm,0.02111910688193519,28
EXP-XAI-0001,B2:0,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,19,S3:EMAi_0.001,0.0200814839933946,30
EXP-XAI-0001,B2:0,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,20,S3:EMAi_0.01,0.0029606871236219634,106
EXP-XAI-0001,B2:0,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,21,S3:EMAi_0.1,0.0008962017693495694,119
EXP-XAI-0001,B2:0,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,22,S3:EMAd_0.001,-0.006949587799002455,87
EXP-XAI-0001,B2:0,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,23,S3:EMAd_0.01,-0.002251044924580503,113
EXP-XAI-0001,B2:0,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,24,S3:EMAd_0.1,0.003811385427521463,98
EXP-XAI-0001,B2:0,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,25,S4:dR,0.09510666208450158,1
EXP-XAI-0001,B2:0,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,26,S4:dR_norm,0.04323301945835789,4
EXP-XAI-0001,B2:0,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,27,S4:EMAi_0.001,0.033049839350642984,9
EXP-XAI-0001,B2:0,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,28,S4:EMAi_0.01,0.00993397627777537,69
