model_id,method,scope,batch,phase,feature_count,sample_count,prediction_calls,batch_size,environment_id,median_ns,mean_ns,p95_ns,p99_ns,iqr_ns,min_ns,max_ns,std_ns,cv,n,experiment_id,median_us,p95_us,unit,variance_flag,scientific_scope
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,2,EXPLANATION_COMPUTE,128,1,1,1,HOST-STAGE12-001,444300.0,449542.4561403509,483375.0,553183.9999999997,14275.0,423000.0,703500.0,25260.053856752795,0.05619058558701827,570,EXP-XAI-LATENCY-001,444.3,483.375,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,2,SERIALIZATION_JSON,128,1,0,1,HOST-STAGE12-001,61200.0,64908.42105263158,86379.99999999984,137685.99999999997,2475.0,58900.0,306500.0,16258.041113299452,0.2504766076518249,570,EXP-XAI-LATENCY-001,61.2,86.37999999999984,nanoseconds_raw_microseconds_presentation,HIGH_VARIANCE_HOST_MEASUREMENT,HOST_MEASURED
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,2,TOP_K_REDUCTION_K1,128,1,0,1,HOST-STAGE12-001,5100.0,5478.245614035088,6809.999999999991,19230.999999999993,200.0,4700.0,24400.0,1971.2299094950681,0.35982868392115186,570,EXP-XAI-LATENCY-001,5.1,6.809999999999991,nanoseconds_raw_microseconds_presentation,HIGH_VARIANCE_HOST_MEASUREMENT,HOST_MEASURED
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,2,TOP_K_REDUCTION_K10,128,1,0,1,HOST-STAGE12-001,5000.0,5222.982456140351,5400.0,6700.0,100.0,4700.0,33700.0,1861.3490439227294,0.35637666018472863,570,EXP-XAI-LATENCY-001,5.0,5.4,nanoseconds_raw_microseconds_presentation,HIGH_VARIANCE_HOST_MEASUREMENT,HOST_MEASURED
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,2,TOP_K_REDUCTION_K20,128,1,0,1,HOST-STAGE12-001,5000.0,5201.578947368421,5400.0,9057.999999999902,200.0,4700.0,27200.0,1472.876374179368,0.28315947697468374,570,EXP-XAI-LATENCY-001,5.0,5.4,nanoseconds_raw_microseconds_presentation,HIGH_VARIANCE_HOST_MEASUREMENT,HOST_MEASURED
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,2,TOP_K_REDUCTION_K3,128,1,0,1,HOST-STAGE12-001,5000.0,5307.19298245614,5554.999999999995,19030.999999999993,200.0,4700.0,34700.0,2030.23737812847,0.382544479697606,570,EXP-XAI-LATENCY-001,5.0,5.554999999999995,nanoseconds_raw_microseconds_presentation,HIGH_VARIANCE_HOST_MEASUREMENT,HOST_MEASURED
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,2,TOP_K_REDUCTION_K5,128,1,0,1,HOST-STAGE12-001,5000.0,5258.070175438596,5400.0,14652.999999999656,200.0,4700.0,29000.0,1854.0261026864891,0.35260581179516826,570,EXP-XAI-LATENCY-001,5.0,5.4,nanoseconds_raw_microseconds_presentation,HIGH_VARIANCE_HOST_MEASUREMENT,HOST_MEASURED
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,6,EXPLANATION_COMPUTE,128,1,1,1,HOST-STAGE12-001,443000.0,450564.8888888889,499799.9999999998,616227.9999999998,14100.0,427900.0,691300.0,32912.676704418045,0.07304758430152432,450,EXP-XAI-LATENCY-001,443.0,499.79999999999984,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,6,SERIALIZATION_JSON,128,1,0,1,HOST-STAGE12-001,61200.0,62924.88888888889,72055.0,93773.99999999993,2800.0,58100.0,277400.0,11822.296066588242,0.18787949053773842,450,EXP-XAI-LATENCY-001,61.2,72.055,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,6,TOP_K_REDUCTION_K1,128,1,0,1,HOST-STAGE12-001,5000.0,5384.0,6454.999999999995,11152.999999999996,200.0,4800.0,21900.0,1511.3857415260327,0.2807180054840328,450,EXP-XAI-LATENCY-001,5.0,6.454999999999996,nanoseconds_raw_microseconds_presentation,HIGH_VARIANCE_HOST_MEASUREMENT,HOST_MEASURED
